"sample";"intercept";"time";"treatment";"sigma.b";"sigma";"se.intercept";"se.time";"se.treatment";"se.sigma.b";"se.sigma";"model";"scenario"
25;-1,17202363282335;0,494971455531044;-1,58244960734774;1,00888670364839;0,718897914887676;0,0727476042565283;0,0162599707609489;0,0745476798165464;0,0285657886486913;0,0259037468256457;"class";"MNAR3"
25;-1,19348137522777;0,511917408080764;-1,52839264373127;1,21854641509609;0,715775288881077;0,0739070079920216;0,0229319431159877;0,0925037656659044;NA;0,0258188538235303;"spsp";"MNAR3"
26;-1,14339046493919;0,511576391449757;-1,60555384255406;1,08208528248114;0,705945772474578;0,0758377015376424;0,0161319762285132;0,0788730917565253;0,0258481784229968;0,0264629519570151;"class";"MNAR3"
26;-1,15125256484851;0,525971792692514;-1,5819696519997;1,2722368959913;0,705808222787202;0,0727588127020063;0,0226961019055306;0,0912577361949791;NA;0,0249916843460339;"spsp";"MNAR3"
27;-1,11143228477221;0,488580604046162;-1,4764401132375;1,04622919599367;0,696627403619893;0,0728844006805393;0,0156203148216595;0,0757692290617607;0,026767683148557;0,0261873746018019;"class";"MNAR3"
27;-1,103415956561;0,500392855224498;-1,49643994683483;1,25698913549339;0,694774074398938;0,0746589278297887;0,0220715978356286;0,0952045773989718;NA;0,0240492912337383;"spsp";"MNAR3"
28;-1,20600598086239;0,480217549741572;-1,49412683085733;1,00763422838635;0,720546333435255;0,0723807988826729;0,016238054646644;0,0746894059654032;0,0284441045141778;0,0254686200990458;"class";"MNAR3"
28;-1,18803734870753;0,492125686691384;-1,44098935289277;1,22836505110896;0,715940162194282;0,0761812041775237;0,0228616481371153;0,0925172931226105;NA;0,0250582189653613;"spsp";"MNAR3"
29;-1,15854437046289;0,501193704460844;-1,70502831632689;1,01296422209409;0,714417020849679;0,0722668329508434;0,0161155792035361;0,0744809093885308;0,0285117406729322;0,0260483709551417;"class";"MNAR3"
29;-1,16033592456185;0,514424128465792;-1,67747462645776;1,19865706337581;0,709783021406058;0,0756314119044204;0,0226863338482414;0,0944597031205942;NA;0,0254045349122237;"spsp";"MNAR3"
30;-1,30094352951725;0,48589621082277;-1,38386564394932;1,00367512370552;0,68390862149485;0,0716036167624253;0,0152453793000739;0,073532121128741;0,028052510294295;0,0267157997791116;"class";"MNAR3"
30;-1,24700969290121;0,498429680765213;-1,47153400648489;1,23072691144815;0,67889082535736;0,069984613631271;0,021325321987948;0,0873177129962817;NA;0,0227058552102799;"spsp";"MNAR3"
31;-1,22811463413135;0,516852335003072;-1,52638575395799;0,978228849043702;0,717025140754226;0,0715571462296007;0,0163147968366175;0,0730106602571249;0,0299298401229453;0,0258113210524463;"class";"MNAR3"
31;-1,21353945521867;0,528741729453548;-1,54787094856194;1,20180202539419;0,714219782278797;0,0730269568228463;0,0228211454326343;0,0900127491260962;NA;0,0252393100949875;"spsp";"MNAR3"
32;-1,15497276595351;0,497404457606917;-1,61851548684798;1,04124352097823;0,690206774291773;0,0744505691802185;0,0158841526567433;0,0757751387009803;0,0268500857336319;0,0270521073541982;"class";"MNAR3"
32;-1,19953245681353;0,509269104756402;-1,54550957109951;1,28111327585331;0,6851617387687;0,0686178686019403;0,0221267886837314;0,086622897008773;NA;0,023672621909763;"spsp";"MNAR3"
33;-1,19776878935368;0,481936169910316;-1,49011501428212;0,992755651947925;0,715565276251562;0,0716142067262092;0,0161489463459879;0,0738219464664468;0,0293243863873164;0,0259271876080608;"class";"MNAR3"
33;-1,18012964205565;0,497694444924825;-1,49861656167755;1,19043674868925;0,714310118396647;0,0752704109101388;0,0228675811426044;0,0956295913827395;NA;0,0256749526672403;"spsp";"MNAR3"
34;-1,21780851786373;0,488383853618017;-1,53198360957886;0,991797805281417;0,699075955832553;0,0716452058306611;0,0158544582377837;0,0730105544749963;0,0286883857519964;0,0262660493706378;"class";"MNAR3"
34;-1,23505197352992;0,500650791145123;-1,51690040129318;1,17442083956046;0,695883133939171;0,0730419008577284;0,0222468291042383;0,0889178712978256;NA;0,0237408516810507;"spsp";"MNAR3"
35;-1,2664826994498;0,492648357047101;-1,37391693242892;1,04417527406026;0,721281483739226;0,0745918874721799;0,01618287916195;0,0765222012378178;0,0270788972397754;0,0253376814612954;"class";"MNAR3"
35;-1,19165343225814;0,504202202961136;-1,49412449795749;1,26373242712292;0,716469436953284;0,0739314602743878;0,0227034799585006;0,0937550393509795;NA;0,0252679911813711;"spsp";"MNAR3"
36;-1,23460483290083;0,442242545794239;-1,4399290336745;1,0284836923797;0,713030735500391;0,0719705165088918;0,0159296711229641;0,0757721223803034;0,0274752128210252;0,0256508713230308;"class";"MNAR3"
36;-1,21042850553002;0,45486618965802;-1,4228815527813;1,21119225364807;0,713216131214824;0,0751816582861416;0,0224934753950039;0,0932972324463495;NA;0,0250463250868146;"spsp";"MNAR3"
37;-1,25204327321791;0,486546514942714;-1,52536273635442;1,02045807479345;0,68769254260511;0,0727481279375065;0,0155690994452145;0,0747024056649758;0,0276957042946148;0,0268676062612273;"class";"MNAR3"
37;-1,25256199534297;0,495985801966668;-1,47830613711725;1,22102955706083;0,680331002295478;0,0727535498815972;0,0217607737290299;0,0894560449645594;NA;0,0232361044162129;"spsp";"MNAR3"
38;-1,19041142818408;0,489617943993824;-1,50818190496699;0,99745203905367;0,718296415024493;0,0711775901499848;0,016323484088584;0,0739045998956677;0,028892797393253;0,0256810588844127;"class";"MNAR3"
38;-1,15494595003418;0,502511135844256;-1,52955586119881;1,2151446311927;0,711922049909371;0,0761237346255733;0,0229467902038356;0,0952538461747106;NA;0,0253320340399257;"spsp";"MNAR3"
39;-1,18137419055395;0,500416306864233;-1,5901484169544;0,970088167754211;0,679023028490405;0,068442859117981;0,0152033896781279;0,0715082782579482;0,0293656968217499;0,0269299019306229;"class";"MNAR3"
39;-1,17412945970628;0,504682013692342;-1,54390955420991;1,19144270462998;0,677826177753909;0,0742242938881079;0,0214076954390391;0,0920422209133604;NA;0,0227520665319196;"spsp";"MNAR3"
40;-1,14218027752083;0,518490740702026;-1,48399427826292;1,06193746503265;0,719111607436151;0,0747616796768833;0,0164402570810239;0,0779339677916727;0,026728431710988;0,0260090797279326;"class";"MNAR3"
40;-1,14552008967134;0,5266915127822;-1,53820667484292;1,27729670185314;0,720089548201879;0,0777897044330184;0,0232008300207341;0,100310688719667;NA;0,0264343233401479;"spsp";"MNAR3"
41;-1,18517786496013;0,484272346135555;-1,48277123497698;1,02076105701303;0,698912284297666;0,0726597289279157;0,0159484354726807;0,0749935691255407;0,0278970123662533;0,0265515720796107;"class";"MNAR3"
41;-1,18608679898739;0,491660906215433;-1,48496235482932;1,23480544702847;0,696060490047149;0,0745219339853596;0,0224284255361844;0,0929934530042864;NA;0,0243889132240192;"spsp";"MNAR3"
42;-1,20062567044329;0,470321306194241;-1,50712074618747;1,02410544401138;0,691817547730474;0,0724886493812569;0,0154709129971377;0,0746757956194833;0,0276111493615423;0,0266512765983145;"class";"MNAR3"
42;-1,19883365396773;0,480907985684874;-1,4892582700839;1,23380443118123;0,687795239471941;0,0736792397454425;0,0217396889872217;0,0917498174041679;NA;0,0235928769879814;"spsp";"MNAR3"
43;-1,23306183495538;0,488168266957083;-1,45874868188197;0,992411317163365;0,711969773675888;0,0714572349169495;0,0160403294723709;0,0733171037063916;0,0288729615555982;0,0255561436898272;"class";"MNAR3"
43;-1,19200170397665;0,501077610350889;-1,47988476794137;1,23015672717724;0,707496196516966;0,0733737917803614;0,022461107867536;0,0904627288890011;NA;0,0244112945032959;"spsp";"MNAR3"
44;-1,0884588424752;0,459611329267372;-1,48552740395942;1,03750614988897;0,698120216799084;0,0741803396173873;0,0159699007585741;0,0758981890501411;0,0271066971032731;0,026519373414966;"class";"MNAR3"
44;-1,08152779000727;0,466019093979002;-1,55069769248247;1,2729848486943;0,697732770743889;0,0711873119193989;0,022532550267387;0,0882806099681297;NA;0,0243507112623541;"spsp";"MNAR3"
45;-1,2324276013788;0,47077150426049;-1,51748970232036;1,00155177058323;0,711846295284566;0,0714434762068029;0,0160867709249258;0,0746927554074998;0,0288476933045892;0,0260546267936192;"class";"MNAR3"
45;-1,20442574730788;0,493162231382421;-1,49422044363571;1,19571188608155;0,708243724719495;0,0682457361110556;0,0224102310078684;0,084900932926831;NA;0,0246931933292579;"spsp";"MNAR3"
46;-1,2491564883064;0,466002497152745;-1,504362310788;0,991251175782353;0,696902718803637;0,0711916685806879;0,0157295207224838;0,0733273197460882;0,0289084601711488;0,026575238180384;"class";"MNAR3"
46;-1,26250129554295;0,48121580683709;-1,45272764119902;1,23612635069636;0,691302135837732;0,0727588886957073;0,0219354099162073;0,0887062110812883;NA;0,0237197842049413;"spsp";"MNAR3"
47;-1,28650446184175;0,512443894132072;-1,34570752862624;1,0035983778709;0,726955727142061;0,0724427952360683;0,0162825709939407;0,0742510213848868;0,0288526550286275;0,0250652598200093;"class";"MNAR3"
47;-1,21755593144572;0,53223713248527;-1,43076647694004;1,19576139694303;0,723779737854623;0,0745885187691298;0,0230277699959273;0,0953982582373752;NA;0,0259090146180769;"spsp";"MNAR3"
48;-1,19713709123045;0,520587526556901;-1,72774052247852;1,00987375421841;0,713383555439707;0,0714787659031118;0,0162915178695844;0,0745390797864633;0,0287430349348521;0,0262151292232342;"class";"MNAR3"
48;-1,19390784855557;0,538892474414317;-1,63933526251986;1,198668095667;0,709222383960717;0,0725097858762574;0,0228240083703271;0,0886499825922938;NA;0,0248434162953841;"spsp";"MNAR3"
49;-1,26174736033788;0,491322023022969;-1,39286635975118;1,01943874306191;0,710139550176716;0,072388969255088;0,0159334508712892;0,0750990842848363;0,0280744132125176;0,0261034244716036;"class";"MNAR3"
49;-1,21810177931745;0,500355942243903;-1,44358068435359;1,2589408401582;0,708839132981542;0,0736839277518008;0,0223318969911087;0,0911045522364697;NA;0,0248741343437984;"spsp";"MNAR3"
1;-1,13000177877151;0,524706813834813;-1,70298913486252;0,926494473482093;0,704519036792806;0,0679042135896966;0,0162942196378034;0,0716856744986109;0,0343943948811731;0,0257545843653888;"class";"MNAR4"
1;-1,27388302426372;0,479026730729983;-1,45280556577788;1,20471206442759;0,731623658159132;0,0643197283614662;0,0226737187377239;0,0784034555695467;NA;0,0266213723736479;"spsp";"MNAR4"
2;-1,03041958864692;0,528796833618557;-1,63784530004874;0,947660739936649;0,668683566702634;0,0686070387639163;0,0147265730927519;0,0720267513919905;0,0326086028593265;0,0274235401710551;"class";"MNAR4"
2;-1,18261980777741;0,483689763462037;-1,3988446622491;1,23080303929201;0,700056471306556;0,0587074965443231;0,0206943352184658;0,0728404761833656;NA;0,0237706748345101;"spsp";"MNAR4"
3;-1,09363142514157;0,525906878726959;-1,5929521423465;0,892807185302194;0,693126313935879;0,067791602140371;0,0153269801054378;0,0682368074943583;0,0340534243034111;0,0253965202018568;"class";"MNAR4"
3;-1,21479794533941;0,480401842689998;-1,42428733108386;1,17527241973291;0,725557026756414;0,0622604811357031;0,0216911400724041;0,0764656153825425;NA;0,0251680075456103;"spsp";"MNAR4"
4;-1,19289228185573;0,534602869100799;-1,55109943119684;0,910776684772661;0,702922988768255;0,068124001730828;0,0159210759296268;0,0712665206631931;0,0346599803855936;0,0250996071273332;"class";"MNAR4"
4;-1,27094898982528;0,493479447190666;-1,44750656511746;1,2231308686858;0,720910690322773;0,063164412108831;0,022043640065222;0,0788866732554928;NA;0,0254995945182095;"spsp";"MNAR4"
5;-1,15181421907538;0,525908378981324;-1,47614699172152;0,915816544845458;0,68674747975537;0,0675329406671788;0,0154973549715276;0,0711791738691038;0,0344956472543942;0,0265554416332772;"class";"MNAR4"
5;-1,21448680739154;0,480004463108774;-1,38295373202296;1,21461279562831;0,715674444536442;0,0673058069873416;0,0217566600291916;0,0832382588974917;NA;0,0252413214646563;"spsp";"MNAR4"
6;-1,25624040147558;0,525667698481443;-1,46554369245246;0,921713945001491;0,701242392108137;0,0689489833149315;0,015750919759808;0,0721838029224844;0,0351861547451188;0,0249386875151799;"class";"MNAR4"
