"sample";"intercept";"time";"treatment";"sigma.b";"sigma";"se.intercept";"se.time";"se.treatment";"se.sigma.b";"se.sigma";"model";"scenario"
53;-1,1922198057003;0,485107916954402;-1,50614288604909;1,24625437525741;0,703580234684208;0,0266712542951787;0,0141963410942787;0,032333549140788;0,0317812790590214;0,014300314125971;"spm";"MNAR"
54;-1,01399105978073;0,526983583182704;-1,65298587957667;1,19223124771762;0,711344586221137;0,0604324440556424;0,0156103193590958;0,0834724486909193;0,0325529883264423;0,0130107615665039;"ignorable";"MNAR"
54;-1,02265697685618;0,462430887086934;-1,60787224495322;1,22790907052143;0,7044913023289;0,0261842160056554;0,0139463320409817;0,0313867471028069;0,0317401776660617;0,0141167491439621;"spm";"MNAR"
55;-1,09118776028534;0,560850841150963;-1,5626609709613;1,22615515873033;0,737007210894939;0,0623341021205837;0,015794385438036;0,0859840502596911;0,0335090210708773;0,0132533330488924;"ignorable";"MNAR"
55;-1,12980554377412;0,498285095475083;-1,47687148926092;1,25386194446864;0,735590259607665;0,0275097698420523;0,0142865728181104;0,0328645510544952;0,0303982814195934;0,0139699689093867;"spm";"MNAR"
56;-1,05356053241164;0,549104521129774;-1,58900475705591;1,20825466100821;0,701074864676011;0,0608668619325741;0,0153758192679849;0,0841889813710623;0,032517890896506;0,0126730472726163;"ignorable";"MNAR"
56;-1,09358388604073;0,487005732469649;-1,50508067247054;1,23232816366356;0,701658875791547;0,0260769807944005;0,0139662003244251;0,0315053791337194;0,0318683059463838;0,0140303385283669;"spm";"MNAR"
57;-1,18459323279758;0,560295862252486;-1,44979209150717;1,2422486713536;0,693000174886416;0,062135640034692;0,0149877228743504;0,08603006126813;0,0329996165597921;0,0124172044978533;"ignorable";"MNAR"
57;-1,2041294726941;0,502869086274675;-1,3977071905975;1,26955727674476;0,690207837499675;0,0255995644233008;0,0134424165058744;0,0306693465596519;0,0323977848191806;0,0139617643443716;"spm";"MNAR"
58;-1,07662541588386;0,571332072348547;-1,59420013467054;1,2140440903844;0,689769623918905;0,06092542712688;0,015010980445835;0,0843017640506285;0,0326119210065821;0,0124325272536293;"ignorable";"MNAR"
58;-1,09510967963571;0,511234567430396;-1,55331192099463;1,24050735804186;0,686703455023584;0,0254706494989108;0,0135310191022999;0,0305884371746354;0,032562352159375;0,0139836207231922;"spm";"MNAR"
59;-1,10433078771337;0,548670821892258;-1,56015312315205;1,19330642429127;0,676141552432798;0,0598820357390369;0,0148335999062808;0,0829176795704855;0,032011350692342;0,0122456103804168;"ignorable";"MNAR"
59;-1,11769927012049;0,486735971541118;-1,51548057609736;1,22884694140576;0,675547832080333;0,0252030467190594;0,0133948232506908;0,0304770868538409;0,0331000693393;0,0140386314422731;"spm";"MNAR"
60;-1,12778695544923;0,554107247973964;-1,5663112765254;1,22683899487327;0,715780197366713;0,0619673617825573;0,0158846053300919;0,0857053775169812;0,0330298161584169;0,0130228583147876;"ignorable";"MNAR"
60;-1,15829298375722;0,49494403299198;-1,49765993621138;1,2530317757235;0,709907936669388;0,026433525106085;0,0141749796063825;0,0318708533516143;0,0315020475459909;0,0141051382925428;"spm";"MNAR"
61;-1,05481963021002;0,575129481551859;-1,75588654013593;1,13507543285427;0,726615938691582;0,0584859650436994;0,0159043173185658;0,0805758463578654;0,0319363447109996;0,0133928427463723;"ignorable";"MNAR"
61;-1,07692105912706;0,500378427457395;-1,68587583175785;1,17070245259707;0,721422815179767;0,0267216635168941;0,0141631631842079;0,0319755805681553;0,030995250251594;0,0141795874755325;"spm";"MNAR"
