"";"sample";"intercept";"time";"treatment";"sigma.b";"sigma";"se.intercept";"se.time";"se.treatment";"se.sigma.b";"se.sigma";"model";"scenario"
"42";42;-1,43727095828728;0,555928000552193;-1,24902426790585;2,38025544610023;0,722338166177757;0,24502990758224;0,0307999187220888;0,343646661446768;0,124069773497189;0,0288702420550643;"ignorable";"MAR"
"43";43;-0,84415885196607;0,460613280185753;-1,80646985135083;2,24147757048194;0,73049338899306;0,231441212139087;0,0309969597484959;0,324474245809997;0,117573911380632;0,0288860177178065;"ignorable";"MAR"
"44";44;-1,18385594808946;0,545082252318708;-1,97438525432859;2,19613365065177;0,74644724556047;0,227789877452286;0,0312048150019233;0,318831544500852;0,115629063569975;0,0300473642343946;"ignorable";"MAR"
"45";45;-1,21903001542618;0,50523492292207;-1,33386684185141;2,27241909008935;0,683434260526704;0,233719800229;0,0285492026060744;0,327998990585026;0,118528057518491;0,0269043323368738;"ignorable";"MAR"
"46";46;-1,14660972082838;0,498847976161283;-2,10832935528315;2,19953216711818;0,684061629879502;0,226869684586765;0,0290465935441669;0,317975737551328;0,114966301949451;0,027212913174277;"ignorable";"MAR"
"47";47;-1,53834209418896;0,493552112483402;-0,8697349839229;2,26693614830364;0,687229132403095;0,233257387491292;0,0278305723723085;0,327009730121024;0,117940089615688;0,0267450386139495;"ignorable";"MAR"
"48";48;-1,47978068034462;0,476141208127687;-1,38754803311993;2,20495852130391;0,71873330666959;0,227852978207943;0,0290730944541039;0,318878778174213;0,115461895057746;0,0275776908721414;"ignorable";"MAR"
"49";49;-1,30295380734745;0,491976720674973;-1,62381178453419;2,24508252889029;0,69561811136797;0,231277987238955;0,0297967033035403;0,324536478243347;0,117439933200922;0,0279512601316413;"ignorable";"MAR"
"50";50;-1,41211477049588;0,493901191326522;-1,39130211943885;2,38160208772078;0,731975079143224;0,245376794183778;0,0315516400974366;0,344301882949316;0,124436991347677;0,030125973375972;"ignorable";"MAR"
"51";51;-1,45012186266376;0,493132238687306;-1,509791912233;2,28057222243101;0,690270119985126;0,234797636209241;0,0306411926674588;0,329646942467747;0,119122484520828;0,028552277798223;"ignorable";"MAR"
"52";52;-0,742925609122756;0,537383787913319;-2,00586965632002;2,33341944244357;0,715246342545115;0,240714589005283;0,0322300283872471;0,33785076836746;0,122206378222996;0,0302040263489561;"ignorable";"MAR"
"53";53;-1,24532350752287;0,488271604051289;-1,50066625489019;2,33924130481559;0,69479669485067;0,240732034644125;0,0314862416762298;0,338338283036812;0,122233926762601;0,0303755046213306;"ignorable";"MAR"
"54";54;-0,488780955214963;0,494398235692296;-2,20622988835597;2,30165358158189;0,723535812808484;0,237863047038657;0,031111294156716;0,33318033741834;0,120610109047476;0,0293844737922278;"ignorable";"MAR"
"55";55;-1,45404818625743;0,502909750387316;-1,43184452035944;2,22961426144804;0,713397140989308;0,230232668959271;0,0304147134433707;0,322717047457233;0,116630709837043;0,0287098943814237;"ignorable";"MAR"
"56";56;-1,12327621688768;0,490751064381295;-1,61145686515768;2,27556743057472;0,685670214310087;0,234069088186691;0,028121290567592;0,328205653671991;0,118458065214354;0,0263435698996228;"ignorable";"MAR"
"57";57;-1,12722054045196;0,47386850617498;-1,84649316699057;2,23695438660691;0,742939572675967;0,231683011610436;0,0326046845667875;0,324484456956828;0,117680568516262;0,0300193472387489;"ignorable";"MAR"
"58";58;-0,971136017879104;0,501635317812958;-1,94063756933812;2,29761727188504;0,71413236258055;0,23699149354888;0,0313899697944377;0,332408785906427;0,120152280042861;0,0295270459640217;"ignorable";"MAR"
"59";59;-1,29235764611836;0,452658495409192;-1,88131783576147;2,25291579212915;0,703701108930131;0,232499171648038;0,0313796093961456;0,325940993566829;0,118042278332131;0,0287895911904587;"ignorable";"MAR"
"60";60;-1,41479972105232;0,41927518056261;-1,08935227484205;2,24785813397766;0,734793836887854;0,232706942276158;0,0317026053234829;0,325607995476889;0,117852423363096;0,0292549312793881;"ignorable";"MAR"
"61";61;-0,882656506017657;0,451621897209291;-1,25503431022654;2,27308675118564;0,663784031346809;0,23343996796884;0,0286264644319829;0,327750022623549;0,118169353144614;0,0266544413240684;"ignorable";"MAR"
"62";62;-0,967538546793529;0,541099797570685;-2,05377327923929;2,34144280843189;0,698420311787971;0,240755365775753;0,0289448956685503;0,337697373623474;0,1218422598644;0,0271482388571283;"ignorable";"MAR"
"63";63;-1,34016565351081;0,512145724448301;-1,44404282430381;2,27050237264192;0,74061295155493;0,23463293632381;0,0307674167499056;0,328724034982519;0,118772869413181;0,0290096422023398;"ignorable";"MAR"
"64";64;-1,44355574057623;0,502427446540958;-1,29721301651738;2,25413062646248;0,730093688288734;0,233088910268582;0,0309222024554285;0,326701154374282;0,118168551401179;0,0300139662539176;"ignorable";"MAR"
"65";65;-1,41736642300683;0,461449178552019;-1,28319625870197;2,27476214419829;0,645704760337144;0,233213311926263;0,0267321712135733;0,327602540752811;0,11808920630652;0,025338622256327;"ignorable";"MAR"
