"";"sample";"intercept";"time";"treatment";"sigma.b";"sigma";"se.intercept";"se.time";"se.treatment";"se.sigma.b";"se.sigma";"model";"scenario"
"378";26;-0,718669343421378;0,42835434178892;-1,57746851675686;0,527597075210941;0,748589911873994;0,0580530179177174;0,030876639756987;0,0673382752334942;0,0263796204203033;0,0233247891428543;"spm+class";"MNAR"
"379";27;-1,17791399809547;0,586012007020611;-1,55726322577741;2,24128432174595;0,679514915967441;0,0538572120541592;0,00105637953773494;0,106378960170526;0,118919456481024;0,0272849653269217;"ignorable";"MNAR"
"380";27;-1,15579601809171;0,545392510494452;-1,59192489393426;2,27203647171378;0,680479078813131;0,0537660496845103;0,0275498456085305;0,0613521656374545;0,113577289174725;0,0212774611733709;"spm";"MNAR"
"381";27;-0,829465237732595;0,535510901947504;-1,7279865632414;0,425462857305763;0,686090728438415;0,0542094369071281;0,0277770384095708;0,0618581117260408;0,0212730914685147;0,0214599323679737;"spm+class";"MNAR"
"382";28;-1,36647974508779;0,51699583999587;-1,60107811016852;2,16470890090927;0,713939836003923;0,0509592796563378;0,00140393491533508;0,10050179857311;0,11620541262955;0,0305925227220775;"ignorable";"MNAR"
"383";28;-1,27985917547145;0,46970793118594;-1,69419064438689;2,18649761342525;0,705972579598197;0,0570624003025297;0,0309869930635707;0,0667914838223723;0,109334468618993;0,022964220430874;"spm";"MNAR"
"384";28;-1,16123415066241;0,45515217172696;-1,5538764948588;0,511497363659023;0,71940564999746;0,0581481588392049;0,0315766050923306;0,0680623441081834;0,0255746177071225;0,0233897088464225;"spm+class";"MNAR"
"385";29;-1,34120236584862;0,56784140564884;-1,5007622324586;2,25938277201405;0,719902147124765;0,0553043860029493;0,00138381079883955;0,109224035450173;0,120871059968825;0,0311126164659403;"ignorable";"MNAR"
"386";29;-1,27525200028061;0,523627486039284;-1,62910717343058;2,29218945341059;0,704752371562243;0,0574310254436702;0,0304791133503443;0,0675732680765454;0,11449086131142;0,0230391849777605;"spm";"MNAR"
"387";29;-0,958655932960736;0,509590422182512;-1,68775073379392;0,496504676203036;0,7088493057876;0,0577648798179812;0,0306562966364081;0,0679660825649644;0,0248247475087807;0,023169697784974;"spm+class";"MNAR"
"388";30;-1,07870115512649;0,478268731126757;-1,93965525915918;2,21707085469012;0,709879816280991;0,0530559690475033;0,00128663201004288;0,104717906208343;0,118591583620272;0,0299109628708482;"ignorable";"MNAR"
"389";30;-1,04689647659678;0,433698417632989;-1,92235660249868;2,24654105615352;0,707977788655297;0,0562214556164152;0,0301331609895686;0,0649536617527541;0,112292186726762;0,0227812169779055;"spm";"MNAR"
"390";30;-1,18295054139609;0,423284387127377;-1,25249721758354;0,553189943796069;0,700746969225211;0,0556472443175333;0,0298253997669799;0,0642902663598566;0,0276581129939421;0,0225464365717016;"spm+class";"MNAR"
"391";31;-1,23462372418395;0,617151878598658;-1,70082026518243;2,11418678683457;0,693279697862675;0,04852300356796;0,00122336759903789;0,0956205431546501;0,113016675202752;0,0286493187510435;"ignorable";"MNAR"
"392";31;-1,18749506960282;0,559382789100633;-1,68729907235099;2,153719448982;0,697009919787658;0,0558203321158683;0,0299421752802343;0,0649364123133176;0,107568488471759;0,0221977392466897;"spm";"MNAR"
"393";31;-1,21938079870135;0,557553545272366;-1,46398442504587;0,45921960304162;0,698401928151679;0,055931809238794;0,0300019725549038;0,065066075937691;0,0229603015104013;0,0222419221879615;"spm+class";"MNAR"
